azimuth_deg,horizon_alt_deg
0,4.396
1,4.352
2,4.266
3,4.186
4,4.175
5,4.179
6,4.568
7,5.116
8,5.631
9,6.239
10,6.825
11,7.404
12,7.943
13,8.365
14,8.700
15,8.650
16,8.473
17,8.292
18,8.055
19,7.947
20,7.831
21,7.751
22,7.805
23,7.856
24,7.860
25,7.887
26,7.903
27,7.943
28,7.911
29,7.873
30,7.855
31,7.821
32,7.838
33,7.833
34,7.733
35,7.754
36,7.751
37,7.773
38,7.733
39,7.664
40,7.468
41,7.086
42,6.638
43,6.512
44,6.400
45,6.289
46,6.201
47,6.095
48,6.038
49,6.007
50,5.996
51,5.975
52,5.920
53,5.842
54,5.714
55,5.636
56,5.634
57,5.540
58,5.358
59,5.152
60,5.191
61,5.140
62,5.155
63,5.116
64,5.095
65,5.056
66,4.983
67,4.824
68,4.784
69,4.596
70,6.944
71,6.642
72,7.232
73,6.960
74,6.368
75,8.376
76,6.924
77,5.115
78,5.079
79,5.394
80,5.454
81,5.507
82,5.093
83,4.795
84,4.608
85,4.472
86,3.773
87,3.764
88,3.845
89,3.813
90,3.798
91,3.829
92,3.967
93,4.029
94,4.067
95,4.075
96,4.046
97,3.874
98,4.015
99,3.981
100,4.015
101,3.959
102,3.968
103,3.942
104,3.822
105,3.883
106,3.790
107,3.834
108,3.984
109,4.117
110,4.016
111,4.018
112,4.190
113,4.189
114,4.091
115,4.035
116,4.074
117,4.121
118,3.931
119,3.868
120,3.781
121,3.774
122,3.641
123,3.614
124,3.639
125,3.632
126,3.601
127,3.655
128,3.778
129,3.818
130,3.731
131,3.722
132,3.704
133,3.703
134,3.533
135,3.343
136,3.422
137,3.539
138,3.941
139,4.207
140,4.102
141,4.258
142,4.120
143,4.013
144,4.135
145,4.145
146,4.152
147,4.152
148,4.160
149,4.137
150,4.046
151,4.193
152,4.356
153,4.415
154,4.199
155,4.164
156,4.567
157,4.965
158,5.155
159,5.139
160,5.018
161,4.881
162,4.573
163,4.410
164,4.203
165,3.980
166,3.928
167,4.019
168,4.072
169,4.161
170,4.379
171,4.541
172,4.580
173,4.403
174,4.086
175,3.790
176,3.528
177,3.432
178,3.506
179,3.541
180,3.424
181,3.236
182,3.008
183,3.127
184,2.955
185,2.844
186,2.740
187,2.791
188,2.794
189,3.319
190,3.067
191,3.068
192,3.101
193,3.274
194,3.494
195,3.722
196,3.953
197,4.121
198,4.052
199,4.077
200,4.156
201,4.057
202,3.910
203,3.659
204,3.635
205,3.574
206,3.567
207,3.510
208,3.488
209,3.422
210,3.212
211,2.968
212,2.820
213,2.653
214,2.623
215,2.590
216,2.625
217,2.842
218,2.825
219,2.754
220,2.754
221,2.794
222,2.834
223,3.024
224,3.298
225,3.305
226,3.272
227,3.238
228,3.274
229,3.362
230,3.390
231,3.408
232,2.781
233,2.772
234,2.898
235,2.882
236,2.860
237,2.385
238,2.396
239,2.287
240,2.271
241,2.910
242,2.983
243,2.783
244,2.644
245,2.117
246,2.169
247,2.115
248,2.090
249,1.873
250,2.044
251,2.031
252,2.054
253,2.110
254,2.193
255,2.245
256,2.253
257,2.234
258,2.155
259,2.805
260,2.893
261,2.841
262,2.196
263,2.235
264,2.196
265,2.161
266,2.881
267,2.208
268,2.196
269,2.178
270,2.162
271,2.228
272,2.215
273,2.208
274,2.228
275,2.258
276,2.334
277,2.358
278,2.544
279,2.578
280,2.629
281,2.656
282,2.605
283,2.300
284,2.187
285,1.956
286,1.967
287,1.929
288,1.908
289,1.768
290,1.719
291,1.707
292,1.860
293,1.936
294,1.934
295,2.010
296,2.045
297,2.068
298,2.020
299,2.075
300,1.926
301,1.888
302,1.875
303,1.853
304,1.828
305,1.868
306,1.910
307,1.952
308,1.963
309,2.014
310,2.028
311,2.015
312,2.061
313,2.074
314,2.093
315,2.103
316,1.986
317,1.948
318,1.932
319,1.145
320,1.112
321,1.102
322,1.079
323,1.071
324,1.056
325,1.028
326,1.024
327,1.042
328,1.048
329,1.556
330,2.186
331,2.578
332,3.973
333,5.023
334,4.893
335,5.138
336,5.173
337,5.172
338,3.944
339,3.716
340,4.970
341,4.918
342,4.884
343,4.889
344,4.880
345,4.851
346,4.925
347,4.821
348,4.749
349,4.535
350,4.454
351,4.380
352,4.347
353,4.315
354,4.323
355,4.386
356,4.412
357,4.421
358,4.427
359,4.418
